id,pic_num,formula,Mn,Co,Cu,Ga,Ge,Nb,Ni,Si,Sn,Zn,N,C,B,sType,sTemper,sHour,t0,deltaL,l1,l2,deltaT,alpha,t1,t2
55,7-f1,Mn3Cu0.5Sn0.5N1,3,0,0.5,0,0,0,0,0,0.5,0,1,0,0,1,,,500,-731.71,-2827.39,-3559.1,38.53,-18.99,299.78,338.31
56,8-f1,Mn3.1Ga0.9N0.8,3.1,0,0,0.9,0,0,0,0,0,0,0.8,0,0,0,750,72,365,-3111.11,2977.5,-133.61,23.57,-132.02,333.99,357.55
57,8-f1,Mn3.15Ga0.85N0.8,3.15,0,0,0.85,0,0,0,0,0,0,0.8,0,0,0,750,72,365,-2974.13,2986.5,12.37,37.16,-80.04,308.46,345.62
58,8-f1,Mn3.2Ga0.8N0.8,3.2,0,0,0.8,0,0,0,0,0,0,0.8,0,0,0,750,72,365,-2285.71,2154.11,-131.61,44.79,-51.04,294.15,338.94
59,8-f1,Mn3.25Ga0.75N0.8,3.25,0,0,0.75,0,0,0,0,0,0,0.8,0,0,0,750,72,365,-2249.72,1303.71,-946.01,54.09,-41.59,255.24,309.33
60,8-f1,Mn3.3Ga0.7N0.8,3.3,0,0,0.7,0,0,0,0,0,0,0.8,0,0,0,750,72,365,-1795.28,282.34,-1512.94,72.65,-24.71,206.74,279.39
61,9-f2,Mn3Ge0.4Zn0.6N1,3,0,0,0,0.4,0,0,0,0,0.6,1,0,0,1,600,,400,-1042.71,758.79,-283.92,85.26,-12.23,295.11,380.37
62,9-f2,Mn3Ge0.4Zn0.6N1,3,0,0,0,0.4,0,0,0,0,0.6,1,0,0,1,700,,400,-1356.78,909.55,-447.24,107.45,-12.63,267.87,375.32
63,9-f2,Mn3Ge0.4Zn0.6N1,3,0,0,0,0.4,0,0,0,0,0.6,1,0,0,1,800,,400,-1344.22,645.73,-698.49,81.89,-16.41,283.33,365.22
64,9-f2,Mn3Ge0.4Zn0.6N1,3,0,0,0,0.4,0,0,0,0,0.6,1,0,0,1,900,,400,-2022.61,645.73,-1376.88,52.72,-38.36,282.21,334.94
