NT,QT,TT,C,Si,Mn,P,S,Ni,Cr,Cu,Mo,RR,dA,dB,dC,Fatigue,Tensile,Fracture,Hardness
865,865,600,0.37,0.24,0.72,0.015,0.02,0.02,0.02,0.02,0,1740,0.1,0,0,389,721,1462,226
865,865,600,0.32,0.21,0.63,0.007,0.017,0.06,0.1,0.08,0,610,0.06,0.05,0.03,358,672,1412,217
865,865,650,0.35,0.21,0.77,0.021,0.022,0.01,0.01,0.02,0,825,0.05,0.03,0,344,635,1384,201
865,865,650,0.35,0.3,0.74,0.017,0.024,0.01,0.1,0.01,0,1270,0.07,0.02,0,369,652,1457,208
865,865,650,0.34,0.26,0.74,0.012,0.015,0.01,0.02,0.01,0,1740,0.08,0,0,325,613,1370,203
865,865,650,0.36,0.26,0.7,0.009,0.023,0.08,0.12,0.09,0,610,0.07,0,0.03,338,667,1412,219
865,865,650,0.33,0.21,0.75,0.031,0.019,0.01,0.03,0.02,0,825,0.08,0,0,362,651,1377,207
865,865,650,0.38,0.29,0.7,0.01,0.03,0.06,0.09,0.11,0,610,0.06,0.01,0.01,361,701,1418,221
865,865,650,0.33,0.26,0.76,0.023,0.013,0.01,0.1,0.03,0,1270,0.08,0.02,0,385,667,1487,215
865,865,650,0.32,0.26,0.73,0.015,0.019,0.02,0.02,0.03,0,1740,0.06,0,0,348,638,1358,202
865,865,650,0.37,0.27,0.78,0.016,0.02,0.01,0.11,0.02,0,1270,0.13,0.01,0,368,659,1450,212
865,865,650,0.35,0.25,0.82,0.016,0.023,0.03,0.01,0.01,0,825,0.07,0.04,0,341,631,1395,201
865,865,650,0.37,0.24,0.72,0.015,0.02,0.02,0.02,0.02,0,1740,0.1,0,0,365,665,1395,206
865,865,650,0.32,0.21,0.63,0.007,0.017,0.06,0.1,0.08,0,610,0.06,0.05,0.03,325,616,1370,195
845,845,550,0.45,0.25,0.79,0.018,0.016,0.02,0.13,0.02,0,1740,0.07,0,0,513,923,1617,297
845,845,550,0.45,0.26,0.76,0.027,0.019,0.01,0.11,0.02,0,1270,0.12,0.01,0,448,801,1534,271
845,845,550,0.45,0.24,0.71,0.01,0.009,0.12,0.06,0.13,0,610,0.06,0,0.01,465,874,1510,289
845,845,550,0.44,0.24,0.82,0.021,0.021,0.03,0.02,0.02,0,825,0.1,0.03,0.01,446,809,1481,258
845,845,550,0.42,0.22,0.78,0.022,0.02,0.01,0.02,0.03,0,825,0.11,0.04,0,437,766,1480,254
845,845,550,0.48,0.25,0.75,0.024,0.022,0.02,0.1,0.01,0,1740,0.08,0,0,502,929,1627,298
845,845,550,0.47,0.25,0.72,0.015,0.01,0.13,0.04,0.04,0,610,0.04,0,0.03,465,882,1554,281
845,845,550,0.43,0.22,0.83,0.017,0.016,0.01,0.12,0.01,0,1740,0.06,0,0,475,843,1598,278
845,845,550,0.49,0.26,0.8,0.027,0.023,0.02,0.09,0.01,0,1270,0.13,0.01,0,504,910,1587,298
845,845,550,0.45,0.25,0.79,0.011,0.025,0.12,0.04,0.15,0,610,0.09,0,0.04,486,925,1544,301
845,845,550,0.42,0.26,0.7,0.024,0.01,0.01,0.1,0.01,0,1270,0.04,0.01,0,452,819,1477,255
845,845,600,0.45,0.25,0.79,0.018,0.016,0.02,0.13,0.02,0,1740,0.07,0,0,459,828,1540,266
845,845,600,0.45,0.26,0.76,0.027,0.019,0.01,0.11,0.02,0,1270,0.12,0.01,0,415,748,1486,245
845,845,600,0.45,0.24,0.71,0.01,0.009,0.12,0.06,0.13,0,610,0.06,0,0.01,437,812,1503,260
845,845,600,0.44,0.24,0.82,0.021,0.021,0.03,0.02,0.02,0,825,0.1,0.03,0.01,415,760,1465,239
845,845,600,0.42,0.22,0.78,0.022,0.02,0.01,0.02,0.03,0,825,0.11,0.04,0,401,717,1439,232
845,845,600,0.48,0.25,0.75,0.024,0.022,0.02,0.1,0.01,0,1740,0.08,0,0,463,833,1573,269
845,845,600,0.47,0.25,0.72,0.015,0.01,0.13,0.04,0.04,0,610,0.04,0,0.03,442,806,1523,256
