Alloy,Dmax
Ag7Cu84.5P8.5,0
Ag9Cu82.5P8.5,0
Ag9Cu84.5P6.5,0
Ag9Cu85P6,0
Al10Ce10Cu80,0
Al10Ce2Cu88,0
Al10Ce4Cu86,0
Al10Ce6Cu84,0
Al10Cu10La80,0
Al10Cu10Ti80,0
Al10Cu20La70,0
Al10Cu20Ti70,0
Al10Cu50La40,0
Al10Cu60La30,0
Al10Cu70La20,0
Al10Cu70Ti20,0
Al10Cu80La10,0
Al10Cu80Nd10,0
Al10Cu84Nd6,0
Al10Cu86Nd4,0
Al10Cu88Nd2,0
Al10La10Ni80,0
Al10La20Ni70,0
Al10La25Ni65,0
Al10Mg40Zn50,0
Al10Mg50Zn40,0
Al10Mg60Zn30,0
Al10Mg80Zn10,0
Al10Mg85Zn5,0
Al10Ni45Ti45,0
Al10Ni5Zr85,0
Al10Ni70Ti20,0
Al10Ni70Zr20,0
Al10Ni80Zr10,0
Al12B10Co78,0
Al12B10Fe78,0
Al12B14Co74,0
Al12B14Ni74,0
Al12B6Co82,0
Al12B6Fe82,0
Al12Ce10Cu78,0
Al12Ce6Cu82,0
Al12Cu78Nd10,0
Al12Cu82Nd6,0
Al12Cu84Nd4,0
Al14Ce10Cu76,0
Al14Ce6Cu80,0
Al14Ce8Cu78,0
Al14Cu76Nd10,0
Al14Cu78Nd8,0
Al14Cu80Nd6,0
Al14Cu82Nd4,0
Al15Fe56.7Tb28.3,0
Al15La25Ni60,0
Al15Mg70Zn15,0
Al15Mg75Zn10,0
Al15Mg80Zn5,0
Al15Ni75Zr10,0
Al16B10Co74,0
Al16B10Fe74,0
Al16B14Ni70,0
Al20B10Co70,0
Al20B14Co66,0
Al20B14Ni66,0
Al20B18Co62,0
Al20B22Co58,0
Al20Cu10La70,0
Al20Cu10Ti70,0
Al20Cu20Ti60,0
Al20Cu60La20,0
Al20Cu70Ti10,0
Al20La10Ni70,0
Al20La20Ni60,0
Al20Mg40Zn40,0
Al20Mg50Zn30,0
Al20Mg60Zn20,0
Al20Mg70Zn10,0
Al20Ni60Zr20,0
Al20Ni70Zr10,0
Al24B14Ni62,0
Al24B18Ni58,0
Al24B22Co54,0
Al24B22Ni54,0
Al25Cu25Ti50,0
Al25Cu30Ti45,0
Al25Cu50Mn25,0
Al25Cu5Ti70,0
Al28B22Ni50,0
Al28B30Ni42,0
Al2Ce10Cu88,0
Al2Ce6Cu92,0
Al2Ce8Cu90,0
Al2Cu88Nd10,0
Al2Cu90Nd8,0
Al2Cu92Nd6,0
Al30Cu10Ti60,0
Al30Cu20Ti50,0
Al30Cu30Ti40,0
Al30Cu40Ti30,0
Al30Cu50La20,0
Al30Cu60La10,0
Al30La10Ni60,0
Al30La15Ni55,0
Al30Mg40Zn30,0
Al30Mg50Zn20,0
Al30Mg60Zn10,0
Al30Ni10Zr60,0
Al30Ni50Zr20,0
Al30Ni60Zr10,0
Al31Ni50Ti19,0
Al35Cu40Ti25,0
Al35Cu45Ti20,0
Al35Cu5Ti60,0
Al40Cu10La50,0
