AAM,RAM,rAM,dAM,rAR ,RDen,dDen ,ATm,mTm,RTm,dTm,MCp,dCp,AIE,dIE ,MEN,dEN ,rLP ,dLP ,mVEC,dVEC,AsVEC,fs,MpVEC,fp,mdVEC,RdVEC, H,S/R,PHSS,N,Class,Alloy,Dmax,Tg,Tx,Tl
0.366916437,0.429932749,0.238637373,0.399050706,0.500888001,0.408559914,0.370561222,0.403705988,0.509306173,0.330906223,0.41425022,0.269786461,0.330210411,0.532719074,0.448612171,0.485483871,0.426053341,0.338794275,0.289272017,0.26,0.4795231,0.609411765,0.299052531,0.2,0.2,0.2,0.8,0.520502933,0.518794298,0.717151914,0.4,1,(Cu60Zr30Ti10)90Be10,5,720,762,1130
0.390157437,0.317362081,0.519047747,0.308341889,0.495676233,0.329010866,0.307097625,0.406260111,0.509306173,0.330906223,0.421424899,0.322944116,0.222630574,0.496848472,0.375187215,0.485483871,0.440594331,0.307695634,0.289416412,0.32,0.442469379,0.592470588,0.287757142,0.2,0.2,0.26,0.74,0.543304868,0.472667592,0.738498543,0.4,1,(Cu60Zr30Ti10)98Y2,5,707,757,1122
0.390557211,0.396994903,0.439062508,0.313414277,0.594178659,0.324358517,0.303458763,0.403115779,0.259279221,0.476365352,0.435679734,0.349386642,0.222409931,0.500414444,0.368105199,0.514516129,0.433687977,0.296048291,0.289770984,0.38,0.438241965,0.590352941,0.286478415,0.6,0.203343065,0.2,0.8,0.542805249,0.462842968,0.744155931,0.4,1,(Cu60Zr30Ti10)99Sn1,5,730,776,1155
0.399807737,0.377871731,0.368319908,0.340592968,0.594178659,0.383339285,0.330928712,0.412335734,0.384892334,0.403286934,0.462679564,0.269786461,0.222393082,0.464334571,0.40897094,0.485483871,0.458199464,0.351845825,0.279669777,0.32,0.482866565,0.637647059,0.313368984,0.4,0.215278839,0.2,0.8,0.502577713,0.454372084,0.72925455,0.3,1,(Cu50Zr50)92Al8,5,701,783,1155
0.331590461,0.620882906,0.218376825,0.565945765,0.280988593,0.382696526,0.394516734,0.46792107,0.588880595,0.390717971,0.344889225,0.431076783,0.516884978,0.58062828,0.383555918,0.553225806,0.359387231,0.270431067,0.333424391,0.32,0.398227452,0.785882353,0.369797474,0.6,0.261440437,0.2,0.56,0.505771374,0.494418571,0.633847946,0.5,1,(Fe0.68Tb0.07B0.2Si0.05)96Nb4,2,959,1019,1438
0.328051733,0.620882906,0.218376825,0.555367362,0.280988593,0.382696526,0.394480177,0.468300999,0.588880595,0.390717971,0.344043474,0.431076783,0.515748328,0.583774488,0.373394788,0.553225806,0.350666092,0.270431067,0.334707362,0.32,0.395019928,0.785882353,0.368379447,0.6,0.260982496,0.2,0.56,0.50718553,0.48769676,0.646379741,0.5,1,(Fe0.69Tb0.06B0.2Si0.05)96Nb4,3,952,1012,1411
0.324513006,0.620882906,0.218376825,0.543129117,0.280988593,0.382696526,0.394443428,0.468680929,0.588880595,0.390717971,0.343190487,0.431076783,0.514586019,0.586920696,0.362490278,0.553225806,0.3413632,0.270431067,0.335938834,0.32,0.391753269,0.785882353,0.366982401,0.6,0.260531331,0.2,0.56,0.508611848,0.480455866,0.658837049,0.5,1,(Fe0.70Tb0.05B0.2Si0.05)96Nb4,3.5,935,995,1396
0.320974279,0.620882906,0.218376825,0.528915311,0.280988593,0.382696526,0.394406487,0.469060859,0.588880595,0.390717971,0.342330153,0.431076783,0.513397572,0.590066904,0.350683936,0.553225806,0.331358354,0.270431067,0.337108754,0.32,0.388425728,0.785882353,0.365605875,0.6,0.260086792,0.2,0.56,0.510050327,0.472599737,0.671192817,0.5,1,(Fe0.71Tb0.04B0.2Si0.05)96Nb4,3.5,869,969,1397
0.317435551,0.620882906,0.218376825,0.512306822,0.280988593,0.382696526,0.394369354,0.469440789,0.588880595,0.390717971,0.341462359,0.431076783,0.512182492,0.593213112,0.337747424,0.553225806,0.320481135,0.270431067,0.338205192,0.32,0.385035298,0.785882353,0.36424942,0.6,0.259648735,0.2,0.56,0.511500969,0.463982538,0.683423436,0.5,1,(Fe0.72Tb0.03B0.2Si0.05)96Nb4,3,860,940,1422
0.313896824,0.620882906,0.218376825,0.492724506,0.280988593,0.382696526,0.394332028,0.469820718,0.588880595,0.390717971,0.340586988,0.431076783,0.510940268,0.59635932,0.323329887,0.553225806,0.308475569,0.270431067,0.339213939,0.32,0.381579686,0.785882353,0.3629126,0.6,0.259217019,0.2,0.56,0.512963772,0.454356253,0.695516528,0.5,1,(Fe0.73Tb0.02B0.2Si0.05)96Nb4,2.5,844,914,1440
0.310358096,0.620882906,0.218376825,0.469323307,0.280988593,0.382696526,0.394294509,0.470200648,0.588880595,0.390717971,0.339703917,0.431076783,0.509670373,0.599505528,0.306839558,0.553225806,0.294924409,0.270431067,0.340117996,0.32,0.378056282,0.785882353,0.361594992,0.6,0.258791508,0.2,0.56,0.514438738,0.443198031,0.707501072,0.5,1,(Fe0.74Tb0.01B0.2Si0.05)96Nb4,1,836,882,1459
0.309784471,0.429597252,0.250199478,0.421512341,0.402471483,0.382696526,0.395945485,0.463670867,0.605887436,0.380823837,0.335992654,0.257973648,0.472098025,0.601525335,0.28508265,0.553225806,0.272932631,0.278263197,0.337886082,0.32,0.366834599,0.785882353,0.359015778,0.6,0.267618332,0.2,0.56,0.507581466,0.44035765,0.725311752,0.4,1,(Fe0.75B0.15Si0.10)96Nb4,1.5,835,885,1369
0.306452325,0.429597252,0.250199478,0.414230501,0.402471483,0.382696526,0.398045466,0.459884182,0.605887436,0.380823837,0.323018011,0.257973648,0.474965464,0.605473364,0.268228403,0.553225806,0.266816492,0.278263197,0.338398452,0.32,0.366264548,0.792941176,0.359862495,0.6,0.268652176,0.2,0.56,0.513292727,0.423924906,0.732444853,0.4,1,(Fe0.75B0.15Si0.10)98Nb2,1,812,870,1425
0.304786252,0.429597252,0.250199478,0.410001674,0.402471483,0.382696526,0.399085174,0.457990839,0.605887436,0.380823837,0.315470041,0.257973648,0.476388261,0.607447379,0.257758796,0.553225806,0.263460423,0.278263197,0.338646108,0.32,0.365960398,0.796470588,0.360282415,0.6,0.269164898,0.2,0.56,0.516279927,0.413602908,0.736258299,0.4,1,(Fe0.75B0.15Si0.10)99Nb1,0.5,815,858,1455
0.304726106,0.424724138,0.251611877,0.409527273,0.340961159,0.370453502,0.399141851,0.456638296,0.605887436,0.312417838,0.307119244,0.269786461,0.476503378,0.607246465,0.260219052,0.553225806,0.273944296,0.278263197,0.337475207,0.32,0.36716253,0.8,0.361456924,0.6,0.26926629,0.2,0.56,0.513645249,0.413602908,0.733196741,0.4,1,(Fe0.75B0.15Si0.10)99Zr1,0.75,867,919,1469
0.306819369,0.429597252,0.250199478,0.440770231,0.402471483,0.382696526,0.394256797,0.470580578,0.605887436,0.380823837,0.33881302,0.257973648,0.508372261,0.602651736,0.287118285,0.553225806,0.279056362,0.278263197,0.340896923,0.32,0.374462119,0.785882353,0.360296184,0.6,0.258372068,0.2,0.56,0.515925865,0.42804609,0.719801671,0.4,1,(Fe0.75B0.2Si0.05)96Nb4,1.5,835,880,1475
0.333290396,0.631225959,0.217393056,0.580358502,0.283996741,0.425608325,0.388876646,0.474140157,0.603834886,0.406923881,0.349474262,0.376101772,0.534064766,0.583120186,0.374550323,0.611290323,0.363867067,0.271604819,0.334926094,0.32,0.397779418,0.786870588,0.368075423,0.4,0.247118032,0.2,0.56,0.533912838,0.45300947,0.672420712,0.4,1,(Fe72Mo4B24)93Dy7,2,880,957,1406
0.329147434,0.631225959,0.217393056,0.57120384,0.283996741,0.425608325,0.389931754,0.474800164,0.603834886,0.406923881,0.349262616,0.376101772,0.535178896,0.586377169,0.36432717,0.611290323,0.35507839,0.271604819,0.336055414,0.32,0.395193913,0.786729412,0.366957719,0.4,0.247351983,0.2,0.56,0.534494095,0.44718641,0.680244287,0.4,1,(Fe72Mo4B24)94Dy6,3,854,945,1400
0.325004472,0.631225959,0.217393056,0.560308702,0.283996741,0.425608325,0.390980149,0.47546017,0.603834886,0.406923881,0.349035842,0.376101772,0.536264675,0.589634153,0.353291056,0.611290323,0.345693879,0.271604819,0.337163305,0.32,0.392573214,0.786588235,0.365852742,0.4,0.247583271,0.2,0.56,0.535113372,0.440834093,0.688239552,0.4,1,(Fe72Mo4B24)95Dy5,2,853,942,1401
0.312289119,0.429597252,0.250199478,0.449679142,0.272165813,0.382696526,0.395903276,0.470408357,0.605887436,0.380823837,0.337600962,0.322944116,0.509113233,0.591722045,0.334791788,0.553225806,0.331448493,0.278263197,0.335286923,0.32,0.386898745,0.786447059,0.364760276,0.6,0.255780596,0.2,0.56,0.517029218,0.464703422,0.675288508,0.5,1,(Fe72Nb4B20Si4)96Y4,3,905,933,1424
0.310798136,0.429597252,0.250199478,0.448504174,0.272165813,0.382696526,0.395442428,0.470739317,0.605887436,0.380823837,0.337977915,0.322944116,0.51037957,0.594501401,0.324841053,0.553225806,0.320746701,0.278263197,0.336728155,0.32,0.384163507,0.786305882,0.36368011,0.6,0.256044373,0.2,0.56,0.517092043,0.457260899,0.685815652,0.5,1,(Fe72Nb4B20Si4)97Y3,4,859,915,1416
0.309307152,0.429597252,0.250199478,0.447159669,0.272165813,0.382696526,0.394967231,0.471070277,0.605887436,0.380823837,0.338347967,0.322944116,0.51162952,0.597280757,0.31388527,0.553225806,0.30892721,0.278263197,0.338184686,0.32,0.381388239,0.786164706,0.362612036,0.6,0.256305197,0.2,0.56,0.517183873,0.448777882,0.6966142,0.5,1,(Fe72Nb4B20Si4)98Y2,2,855,903,1416
0.307816169,0.429597252,0.250199478,0.445634829,0.272165813,0.382696526,0.394477877,0.471401236,0.605887436,0.380823837,0.338711203,0.322944116,0.512863112,0.600060113,0.301604101,0.553225806,0.295586814,0.278263197,0.339656958,0.32,0.378571564,0.786023529,0.361555853,0.6,0.256563117,0.2,0.56,0.517304707,0.438709485,0.70771119,0.5,1,(Fe72Nb4B20Si4)99Y1,2,855,881,1419
0.309683252,0.429597252,0.250199478,0.460525384,0.402471483,0.393011274,0.391892626,0.479076373,0.629638369,0.367006166,0.349819557,0.257973648,0.533526103,0.598963608,0.302227428,0.553225806,0.2878932,0.278263197,0.332732818,0.32,0.385974448,0.778823529,0.356245663,0.4,0.246041745,0.2,0.62,0.519253314,0.510487719,0.687462299,0.4,1,(Fe80Co20)71Nb6B23,2,809,864,1475
0.308306205,0.64637636,0.220405415,0.417327922,0.21781749,0.424598276,0.421713007,0.4664422,0.204232768,0.797537486,0.636390749,0.345661063,0.501222216,0.701981212,0.558535496,0.8,0.39854151,0.200231885,0.5814617,0.32,0.330848778,0.8,0.355611451,0.8,0.315430415,0.2,0.56,0.453022001,0.434956215,0.663894183,0.5,1,(Fe81.5Si3.8C14Tm0.7)90.9P9.1,1,717,767,1318
0.309277143,0.64637636,0.220405415,0.416325089,0.21781749,0.424598276,0.416046387,0.472102659,0.204232768,0.797537486,0.620008622,0.345661063,0.503803869,0.696980254,0.556001542,0.8,0.399132402,0.200231885,0.612918875,0.32,0.329601356,0.8,0.35478797,0.8,0.307405791,0.2,0.56,0.458089325,0.427118459,0.670365575,0.5,1,(Fe81.5Si3.8C14Tm0.7)92.37P7.63,1,687,752,1284
0.314152912,0.429597252,0.250199478,0.440849454,0.402471483,0.401122277,0.405470423,0.457585729,0.605887436,0.380823837,0.36029246,0.302044525,0.519676516,0.572215762,0.304093982,0.553225806,0.26483037,0.272904428,0.345209243,0.32,0.405103784,0.785882353,0.328430238,0.6,0.248081204,0.2,0.68,0.509338182,0.42804609,0.714841927,0.4,1,(Ni0.75B0.2Si0.05)96Nb4,0.5,770,795,1446
0.348158527,0.317362081,0.519047747,0.316563126,0.594178659,0.32870479,0.361930579,0.422294006,0.509306173,0.330906223,0.375663987,0.302044525,0.221228847,0.483948222,0.353741288,0.490322581,0.38794279,0.325880114,0.276967374,0.38,0.472528577,0.666588235,0.321729302,0.2,0.2,0.32,0.68,0.562942023,0.522816131,0.760876864,0.4,1,(Ti0.45Cu0.378Zr0.10Ni0.072),1,641,680,1167
0.360988954,0.396994903,0.439062508,0.366565348,0.594178659,0.32870479,0.361089967,0.406390759,0.259279221,0.476365352,0.454509592,0.349386642,0.232282983,0.485274174,0.349267101,0.514516129,0.389905399,0.287019147,0.278075993,0.38,0.477850929,0.674592941,0.327579955,0.6,0.223738397,0.2,0.8,0.558483326,0.569820538,0.755088949,0.5,1,(Ti0.45Cu0.378Zr0.10Ni0.072)94Sn6,1,683,739,1169
0.356712145,0.396994903,0.439062508,0.353655271,0.594178659,0.32870479,0.361409741,0.411691842,0.259279221,0.476365352,0.430547318,0.349386642,0.229220262,0.48483219,0.350776513,0.514516129,0.389397425,0.287019147,0.277905998,0.38,0.476137664,0.671924706,0.325595213,0.6,0.21568552,0.2,0.8,0.559835592,0.559095446,0.756745324,0.5,1,(Ti0.45Cu0.378Zr0.10Ni0.072)96Sn4,1,666,715,1156
0.352435336,0.396994903,0.439062508,0.337478038,0.594178659,0.32870479,0.36168957,0.416992924,0.259279221,0.476365352,0.404572836,0.349386642,0.225620163,0.484390206,0.352267737,0.514516129,0.388744664,0.287019147,0.27754655,0.38,0.474362797,0.669256471,0.323645298,0.6,0.20777395,0.2,0.8,0.561321824,0.545136406,0.758597158,0.5,1,(Ti0.45Cu0.378Zr0.10Ni0.072)98Sn2,2,650,692,1167
